Date,Actual_Close,Predicted_Close,Error
2018-02-15,1360.4571533203125,5658189.5,-5656829.04284668
2018-02-16,1363.8050537109375,5671366.5,-5670002.694946289
2018-02-19,1359.4112548828125,5654073.0,-5652713.588745117
2018-02-20,1369.2454833984375,5692780.5,-5691411.254516602
2018-02-21,1414.60400390625,5871297.5,-5869882.895996094
2018-02-22,1418.27734375,5885753.0,-5884334.72265625
2018-02-23,1430.1807861328125,5932598.0,-5931167.819213867
2018-02-26,1409.675048828125,5851900.0,-5850490.324951172
2018-02-27,1414.627197265625,5871389.0,-5869974.372802734
2018-02-28,1411.23291015625,5858030.5,-5856619.267089844
2018-03-01,1412.4652099609375,5862880.5,-5861468.034790039
2018-03-05,1444.1534423828125,5987581.0,-5986136.846557617
2018-03-06,1414.8363037109375,5872211.0,-5870796.163696289
2018-03-07,1407.698974609375,5844122.5,-5842714.801025391
2018-03-08,1396.7718505859375,5801118.0,-5799721.228149414
2018-03-09,1410.791015625,5856291.5,-5854880.708984375
2018-03-12,1419.1839599609375,5889321.5,-5887902.316040039
2018-03-13,1342.299560546875,5586720.0,-5585377.700439453
2018-03-14,1342.34619140625,5586904.0,-5585561.653808594
2018-03-15,1334.3486328125,5555424.0,-5554089.6513671875
2018-03-16,1313.8896484375,5474893.0,-5473579.1103515625
2018-03-19,1316.35400390625,5484594.0,-5483277.645996094
2018-03-20,1332.09375,5546549.0,-5545216.90625
2018-03-21,1328.3270263671875,5531721.5,-5530393.172973633
2018-03-22,1316.5169677734375,5485235.0,-5483918.483032227
2018-03-23,1310.3790283203125,5461075.0,-5459764.62097168
2018-03-26,1309.8443603515625,5458970.0,-5457660.155639648
2018-03-27,1324.119140625,5515159.0,-5513834.880859375
2018-03-28,1324.7933349609375,5517813.0,-5516488.206665039
2018-04-02,1352.924560546875,5628541.0,-5627188.075439453
2018-04-03,1353.66845703125,5631469.5,-5630115.831542969
2018-04-04,1353.505615234375,5630828.0,-5629474.494384766
2018-04-05,1375.383056640625,5716937.0,-5715561.616943359
2018-04-06,1371.8260498046875,5702937.0,-5701565.173950195
2018-04-09,1359.550537109375,5654620.5,-5653260.949462891
2018-04-10,1365.920654296875,5679694.0,-5678328.079345703
2018-04-11,1401.5147705078125,5819785.0,-5818383.485229492
2018-04-12,1459.6834716796875,6048689.5,-6047229.81652832
2018-04-13,1466.2166748046875,6074396.5,-6072930.283325195
2018-04-16,1482.1884765625,6137236.5,-6135754.3115234375
2018-04-17,1472.40087890625,6098728.5,-6097256.099121094
2018-04-18,1468.91357421875,6085006.5,-6083537.586425781
2018-04-19,1483.8157958984375,6143638.5,-6142154.684204102
2018-04-20,1582.0657958984375,6530070.0,-6528487.934204102
2018-04-23,1584.9488525390625,6541406.5,-6539821.551147461
2018-04-24,1574.2542724609375,6499356.0,-6497781.745727539
2018-04-25,1613.591552734375,6654010.0,-6652396.408447266
2018-04-26,1645.6749267578125,6780107.5,-6778461.825073242
2018-04-27,1605.082275390625,6620559.0,-6618953.917724609
2018-04-30,1642.350341796875,6767042.5,-6765400.149658203
2018-05-02,1627.3082275390625,6707924.5,-6706297.191772461
2018-05-03,1618.9852294921875,6675211.0,-6673592.014770508
2018-05-04,1618.4737548828125,6673200.0,-6671581.526245117
2018-05-07,1590.6678466796875,6563891.0,-6562300.33215332
2018-05-08,1600.083740234375,6600909.0,-6599308.916259766
2018-05-09,1622.449462890625,6688827.5,-6687205.050537109
